empty;optimized time(s);normal time(s)
0.01;0.0;0.04195690155029297
0.010476157527896646;0.0009992122650146484;0.04695248603820801
0.010974987654930561;0.0;0.0429689884185791
0.011497569953977356;0.0;0.04395151138305664
0.012045035402587823;0.0;0.04195880889892578
0.012618568830660204;0.0;0.039947509765625
0.013219411484660288;0.0;0.03997635841369629
0.013848863713938732;0.0;0.04395103454589844
0.014508287784959394;0.0009989738464355469;0.038959503173828125
0.01519911082952934;0.0009989738464355469;0.03896498680114746
0.015922827933410922;0.0;0.0389552116394043
0.016681005372000592;0.0;0.03896021842956543
0.01747528400007684;0.0;0.04095816612243652
0.01830738280295368;0.0;0.04094529151916504
0.019179102616724886;0.0;0.03997230529785156
0.02009233002565047;0.0;0.04095768928527832
0.02104904144512021;0.0;0.03997063636779785
0.022051307399030457;0.0;0.040944576263427734
0.023101297000831605;0.0;0.043955326080322266
0.02420128264794382;0.0;0.040958404541015625
0.025353644939701114;0.0;0.042969703674316406
0.026560877829466867;0.0;0.04395461082458496
0.027825594022071243;0.0;0.03995871543884277
0.02915053062825177;0.0009987354278564453;0.03996396064758301
0.030538555088334154;0.0;0.0389556884765625
0.03199267137797385;0.0009989738464355469;0.04194378852844238
0.033516026509388425;0.0;0.08990836143493652
0.03511191734215131;0.0;0.04095792770385742
0.03678379771828634;0.0;0.03997206687927246
0.03853528593710529;0.0;0.04095864295959473
0.040370172585965536;0.0;0.038959503173828125
0.04229242874389499;0.0009987354278564453;0.03896522521972656
0.044306214575838825;0.0009984970092773438;0.040940284729003906
0.046415888336127795;0.0;0.03997349739074707
0.04862601580065353;0.0;0.03895854949951172
0.0509413801481638;0.0;0.04095911979675293
0.0533669923120631;0.0;0.038959503173828125
0.05590810182512223;0.0;0.03995919227600098
0.05857020818056667;0.0;0.03995990753173828
0.061359072734131756;0.0;0.03995800018310547
0.06428073117284322;0.0;0.039963722229003906
0.06734150657750822;0.0;0.03995537757873535
0.07054802310718646;0.0;0.03895998001098633
0.07390722033525779;0.0;0.03895974159240723
0.0774263682681127;0.0;0.03996014595031738
0.08111308307896872;0.0;0.03995823860168457
0.08497534359086446;0.0;0.03896069526672363
0.08902150854450389;0.0;0.03995847702026367
0.093260334688322;0.0;0.04194521903991699
0.09770099572992257;0.0;0.03997373580932617
0.10235310218990264;0.0;0.03995633125305176
0.10722672220103237;0.0;0.03896045684814453
0.11233240329780277;0.0;0.03995871543884277
0.11768119524349985;0.0;0.03896069526672363
0.12328467394420665;0.0;0.04095745086669922
0.1291549665014884;0.0;0.03896045684814453
0.13530477745798075;0.0;0.041961669921875
0.14174741629268056;0.0;0.04095745086669922
0.1484968262254465;0.0;0.04095935821533203
0.15556761439304723;0.0009801387786865234;0.04295778274536133
0.16297508346206444;0.0;0.04795026779174805
0.17073526474706913;0.0;0.043953657150268555
0.1788649529057435;0.0;0.03995966911315918
0.1873817422860385;0.0;0.03995847702026367
0.19630406500402714;0.0;0.03897428512573242
0.20565123083486514;0.00099945068359375;0.03796029090881348
0.21544346900318845;0.0;0.03896522521972656
0.22570197196339203;0.0009984970092773438;0.03896021842956543
0.23644894126454083;0.0;0.0389554500579834
0.24770763559917114;0.0;0.03896045684814453
0.25950242113997374;0.0009984970092773438;0.040958404541015625
0.27185882427329416;0.0;0.03896021842956543
0.2848035868435802;0.0;0.039958953857421875
0.298364724028334;0.0;0.03896021842956543
0.3125715849688237;0.0;0.03896450996398926
0.327454916287773;0.0;0.0389561653137207
0.34304692863149194;0.0009989738464355469;0.03895974159240723
0.35938136638046275;0.0;0.0399477481842041
0.37649358067924693;0.0;0.0389714241027832
0.3944206059437656;0.0;0.039958953857421875
0.41320124001153385;0.00099945068359375;0.03895998001098633
0.43287612810830595;0.0;0.03995919227600098
0.4534878508128584;0.0;0.03995919227600098
0.4750810162102798;0.0;0.038959503173828125
0.49770235643321115;0.0010039806365966797;0.038954973220825195
0.5214008287999687;0.0;0.03896498680114746
0.5462277217684343;0.0;0.03994107246398926
0.572236765935022;0.0;0.03895998001098633
0.5994842503189411;0.0;0.03896164894104004
0.6280291441834256;0.0;0.04195713996887207
0.6579332246575682;0.0;0.04495358467102051
0.6892612104349699;0.0;0.043955326080322266
0.7220809018385468;0.0;0.04195594787597656
0.7564633275546291;0.0;0.03995919227600098
0.7924828983539177;0.0;0.03897285461425781
0.8302175681319748;0.0;0.039960622787475586
0.8697490026177834;0.0;0.03895926475524902
0.9111627561154896;0.0;0.03895902633666992
0.9545484566618342;0.0;0.04095864295959473
1.0;0.0;0.03895998001098633