size;optimized time(s);normal time(s)
10;0.0009984970092773438;0.0010082721710205078
10;0.0;0.0019979476928710938
11;0.0;0.0019969940185546875
12;0.0;0.0019986629486083984
13;0.0010027885437011719;0.0019969940185546875
14;0.0;0.0039958953857421875
15;0.0;0.0029973983764648438
16;0.0;0.004995584487915039
17;0.0;0.00499415397644043
18;0.0;0.004995107650756836
19;0.0;0.005993366241455078
20;0.0;0.005994081497192383
20;0.0;0.00699305534362793
21;0.0;0.007979154586791992
22;0.0;0.008999824523925781
23;0.0;0.008000850677490234
24;0.0;0.008990764617919922
25;0.0;0.009985923767089844
26;0.0;0.010987520217895508
27;0.0;0.010987997055053711
28;0.0;0.012987136840820312
29;0.0;0.012986421585083008
30;0.0;0.013985395431518555
30;0.0;0.013986587524414062
31;0.0009856224060058594;0.014997720718383789
32;0.0;0.01598358154296875
33;0.0;0.0169827938079834
34;0.0;0.02196478843688965
35;0.0;0.021977663040161133
36;0.0;0.022976398468017578
37;0.0;0.024974346160888672
38;0.0;0.023975372314453125
39;0.0;0.02597355842590332
40;0.0;0.0259854793548584
40;0.0;0.02597808837890625
41;0.0;0.025969266891479492
42;0.0009992122650146484;0.028969764709472656
43;0.0;0.030956029891967773
44;0.0;0.03496408462524414
45;0.0;0.03696084022521973
46;0.0;0.0339665412902832
47;0.0;0.03995943069458008
48;0.0;0.039957523345947266
49;0.0;0.03996086120605469
50;0.0;0.042954206466674805
50;0.00099945068359375;0.04195809364318848
51;0.0;0.06293463706970215
52;0.0;0.04395461082458496
53;0.0;0.05194711685180664
54;0.0;0.05294632911682129
55;0.0;0.05094647407531738
56;0.0009992122650146484;0.0489497184753418
57;0.0;0.052945852279663086
58;0.0;0.05294537544250488
59;0.0;0.05494379997253418
60;0.0;0.05893969535827637
60;0.0;0.05794072151184082
61;0.0;0.05794072151184082
62;0.00099945068359375;0.05993795394897461
63;0.0;0.0639348030090332
64;0.0;0.06494736671447754
65;0.0;0.07091355323791504
66;0.0;0.07092785835266113
67;0.00099945068359375;0.0789186954498291
68;0.0;0.07292485237121582
69;0.0;0.07492327690124512
70;0.0;0.07991719245910645
70;0.0009989738464355469;0.07592225074768066
71;0.0;0.07891964912414551
72;0.0;0.0939030647277832
73;0.0;0.08391404151916504
74;0.0;0.08791089057922363
75;0.0;0.09490084648132324
76;0.0;0.09090733528137207
77;0.0;0.09889841079711914
78;0.0;0.10091018676757812
79;0.0;0.09889841079711914
80;0.0;0.10687732696533203
80;0.0;0.11388468742370605
81;0.0;0.1258704662322998
82;0.0009989738464355469;0.1258838176727295
83;0.0;0.1168668270111084
84;0.0;0.11488223075866699
85;0.0;0.11787962913513184
86;0.0;0.1408557891845703
87;0.0;0.18381309509277344
88;0.0009989738464355469;0.14185333251953125
89;0.0;0.13487815856933594
90;0.0;0.1448357105255127
90;0.0009989738464355469;0.12786865234375
91;0.0;0.13885903358459473
92;0.0;0.14684796333312988
93;0.0;0.13985633850097656
94;0.0009992122650146484;0.15384221076965332
95;0.0;0.15484285354614258
96;0.0;0.1578373908996582
97;0.0009992122650146484;0.15184545516967773
98;0.0009992122650146484;0.15483975410461426
99;0.00099945068359375;0.15384268760681152
100;0.0;0.16383123397827148